	"County"	"County Code"	"Deaths"	"Population"	"Crude Rate"
	"Autauga County, AL"	"01001"	603	378529	159.3
	"Baldwin County, AL"	"01003"	1761	1138248	154.7
	"Barbour County, AL"	"01005"	349	205608	169.7
	"Bibb County, AL"	"01007"	365	167942	217.3
	"Blount County, AL"	"01009"	681	389634	174.8
	"Bullock County, AL"	"01011"	173	82030	210.9
	"Butler County, AL"	"01013"	332	137561	241.3
	"Calhoun County, AL"	"01015"	1704	836278	203.8
	"Chambers County, AL"	"01017"	496	234774	211.3
	"Cherokee County, AL"	"01019"	349	160046	218.1
	"Chilton County, AL"	"01021"	630	304186	207.1
	"Choctaw County, AL"	"01023"	224	91639	244.4
	"Clarke County, AL"	"01025"	353	179309	196.9
	"Clay County, AL"	"01027"	171	92632	184.6
	"Cleburne County, AL"	"01029"	201	99854	201.3
	"Coffee County, AL"	"01031"	511	342552	149.2
	"Colbert County, AL"	"01033"	711	366027	194.2
	"Conecuh County, AL"	"01035"	227	84898	267.4
	"Coosa County, AL"	"01037"	172	75144	228.9
	"Covington County, AL"	"01039"	473	242024	195.4
	"Crenshaw County, AL"	"01041"	190	91235	208.3
	"Cullman County, AL"	"01043"	971	552302	175.8
	"Dale County, AL"	"01045"	550	366276	150.2
	"Dallas County, AL"	"01047"	791	301017	262.8
	"DeKalb County, AL"	"01049"	880	489847	179.6
	"Elmore County, AL"	"01051"	905	573851	157.7
	"Escambia County, AL"	"01053"	565	274138	206.1
	"Etowah County, AL"	"01055"	1532	714182	214.5
	"Fayette County, AL"	"01057"	244	115210	211.8
	"Franklin County, AL"	"01059"	458	223133	205.3
	"Geneva County, AL"	"01061"	312	172450	180.9
	"Greene County, AL"	"01063"	165	59507	277.3
	"Hale County, AL"	"01065"	264	111401	237.0
	"Henry County, AL"	"01067"	211	108948	193.7
	"Houston County, AL"	"01069"	1087	686788	158.3
	"Jackson County, AL"	"01071"	745	361964	205.8
	"Jefferson County, AL"	"01073"	9789	4912313	199.3
	"Lamar County, AL"	"01075"	198	96342	205.5
	"Lauderdale County, AL"	"01077"	962	642862	149.6
	"Lawrence County, AL"	"01079"	522	240903	216.7
	"Lee County, AL"	"01081"	1245	1251035	99.5
	"Limestone County, AL"	"01083"	925	578170	160.0
	"Lowndes County, AL"	"01085"	266	82143	323.8
	"Macon County, AL"	"01087"	369	169454	217.8
	"Madison County, AL"	"01089"	3370	2395981	140.7
	"Marengo County, AL"	"01091"	278	140542	197.8
	"Marion County, AL"	"01093"	428	202344	211.5
	"Marshall County, AL"	"01095"	1200	626506	191.5
	"Mobile County, AL"	"01097"	5957	2987814	199.4
	"Monroe County, AL"	"01099"	323	155396	207.9
	"Montgomery County, AL"	"01101"	3140	1765223	177.9
	"Morgan County, AL"	"01103"	1429	828142	172.6
	"Perry County, AL"	"01105"	193	75492	255.7
	"Pickens County, AL"	"01107"	276	134242	205.6
	"Pike County, AL"	"01109"	410	268967	152.4
	"Randolph County, AL"	"01111"	324	149224	217.1
	"Russell County, AL"	"01113"	804	391585	205.3
	"St. Clair County, AL"	"01115"	1014	560269	181.0
	"Shelby County, AL"	"01117"	1641	1370955	119.7
	"Sumter County, AL"	"01119"	228	103958	219.3
	"Talladega County, AL"	"01121"	1169	581345	201.1
	"Tallapoosa County, AL"	"01123"	498	268329	185.6
	"Tuscaloosa County, AL"	"01125"	2205	1606776	137.2
	"Walker County, AL"	"01127"	1513	460954	328.2
	"Washington County, AL"	"01129"	232	119621	193.9
	"Wilcox County, AL"	"01131"	242	80152	301.9
	"Winston County, AL"	"01133"	332	162192	204.7
	"Aleutians East Borough, AK"	"02013"	20	27028	74.0
	"Aleutians West Census Area, AK"	"02016"	51	52378	97.4
	"Anchorage Borough, AK"	"02020"	3278	2326880	140.9
	"Bethel Census Area, AK"	"02050"	419	131626	318.3
	"Bristol Bay Borough, AK"	"02060"	20	7780	257.1
	"Dillingham Census Area, AK"	"02070"	112	35765	313.2
	"Fairbanks North Star Borough, AK"	"02090"	918	809081	113.5
	"Haines Borough, AK"	"02100"	23	14518	158.4
	"Juneau Borough, AK"	"02110"	320	240782	132.9
	"Kenai Peninsula Borough, AK"	"02122"	642	369907	173.6
	"Ketchikan Gateway Borough, AK"	"02130"	144	99459	144.8
	"Kodiak Island Borough, AK"	"02150"	130	107433	121.0
	"Lake and Peninsula Borough, AK"	"02164"	45	12424	362.2
	"Matanuska-Susitna Borough, AK"	"02170"	878	605843	144.9
	"Nome Census Area, AK"	"02180"	255	72959	349.5
	"North Slope Borough, AK"	"02185"	142	67230	211.2
	"Northwest Arctic Borough, AK"	"02188"	215	58923	364.9
	"Petersburg Borough/Census Area, AK"	"02195"	10	3473	287.9 
	"Prince of Wales-Hyder Census Area, AK"	"02198"	17	6773	251.0 
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	59	33793	174.6
	"Sitka Borough, AK"	"02220"	90	65957	136.5
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	38	18736	202.8
	"Southeast Fairbanks Census Area, AK"	"02240"	67	46176	145.1
	"Valdez-Cordova Census Area, AK"	"02261"	129	69197	186.4
	"Wade Hampton Census Area, AK"	"02270"	261	57842	451.2
	"Wrangell-Petersburg Census Area, AK"	"02280"	71	33889	209.5
	"Yakutat Borough, AK"	"02282"	12	4944	242.7 
	"Yukon-Koyukuk Census Area, AK"	"02290"	197	44910	438.7
	"Apache County, AZ"	"04001"	1820	499452	364.4
	"Cochise County, AZ"	"04003"	1158	854873	135.5
	"Coconino County, AZ"	"04005"	1621	1115711	145.3
	"Gila County, AZ"	"04007"	773	284127	272.1
	"Graham County, AZ"	"04009"	394	276605	142.4
	"Greenlee County, AZ"	"04011"	80	60209	132.9
	"La Paz County, AZ"	"04012"	269	97802	275.0
	"Maricopa County, AZ"	"04013"	34279	28362812	120.9
	"Mohave County, AZ"	"04015"	2169	1046135	207.3
	"Navajo County, AZ"	"04017"	2196	717733	306.0
	"Pima County, AZ"	"04019"	9864	6907538	142.8
	"Pinal County, AZ"	"04021"	3033	2140295	141.7
	"Santa Cruz County, AZ"	"04023"	282	298936	94.3
	"Yavapai County, AZ"	"04025"	1856	1080355	171.8
	"Yuma County, AZ"	"04027"	1306	1339175	97.5
	"Arkansas County, AR"	"05001"	294	128923	228.0
	"Ashley County, AR"	"05003"	302	150602	200.5
	"Baxter County, AR"	"05005"	414	206868	200.1
	"Benton County, AR"	"05007"	1684	1526708	110.3
	"Boone County, AR"	"05009"	368	236742	155.4
	"Bradley County, AR"	"05011"	176	79920	220.2
	"Calhoun County, AR"	"05013"	81	36510	221.9
	"Carroll County, AR"	"05015"	325	165644	196.2
	"Chicot County, AR"	"05017"	179	81345	220.1
	"Clark County, AR"	"05019"	256	192305	133.1
	"Clay County, AR"	"05021"	221	103263	214.0
	"Cleburne County, AR"	"05023"	273	145940	187.1
	"Cleveland County, AR"	"05025"	84	57953	144.9
	"Columbia County, AR"	"05027"	332	186249	178.3
	"Conway County, AR"	"05029"	266	138666	191.8
	"Craighead County, AR"	"05031"	1095	743035	147.4
	"Crawford County, AR"	"05033"	720	418651	172.0
	"Crittenden County, AR"	"05035"	853	371035	229.9
	"Cross County, AR"	"05037"	252	125851	200.2
	"Dallas County, AR"	"05039"	124	52994	234.0
	"Desha County, AR"	"05041"	228	89133	255.8
	"Drew County, AR"	"05043"	254	140643	180.6
	"Faulkner County, AR"	"05045"	1090	904931	120.5
	"Franklin County, AR"	"05047"	225	121632	185.0
	"Fulton County, AR"	"05049"	151	67863	222.5
	"Garland County, AR"	"05051"	1255	582112	215.6
	"Grant County, AR"	"05053"	188	123053	152.8
	"Greene County, AR"	"05055"	581	294012	197.6
	"Hempstead County, AR"	"05057"	279	156243	178.6
	"Hot Spring County, AR"	"05059"	424	220574	192.2
	"Howard County, AR"	"05061"	175	94683	184.8
	"Independence County, AR"	"05063"	431	249106	173.0
	"Izard County, AR"	"05065"	167	79977	208.8
	"Jackson County, AR"	"05067"	228	128870	176.9
	"Jefferson County, AR"	"05069"	1207	574577	210.1
	"Johnson County, AR"	"05071"	275	176431	155.9
	"Lafayette County, AR"	"05073"	103	48959	210.4
	"Lawrence County, AR"	"05075"	235	116917	201.0
	"Lee County, AR"	"05077"	167	82459	202.5
	"Lincoln County, AR"	"05079"	177	119992	147.5
	"Little River County, AR"	"05081"	185	85573	216.2
	"Logan County, AR"	"05083"	282	146742	192.2
	"Lonoke County, AR"	"05085"	812	479856	169.2
	"Madison County, AR"	"05087"	175	100049	174.9
	"Marion County, AR"	"05089"	162	88452	183.2
	"Miller County, AR"	"05091"	509	309190	164.6
	"Mississippi County, AR"	"05093"	798	339946	234.7
	"Monroe County, AR"	"05095"	120	54199	221.4
	"Montgomery County, AR"	"05097"	99	53134	186.3
	"Nevada County, AR"	"05099"	145	60174	241.0
	"Newton County, AR"	"05101"	97	50563	191.8
	"Ouachita County, AR"	"05103"	394	169603	232.3
	"Perry County, AR"	"05105"	126	68683	183.5
	"Phillips County, AR"	"05107"	451	149633	301.4
	"Pike County, AR"	"05109"	112	74516	150.3
	"Poinsett County, AR"	"05111"	416	169970	244.7
	"Polk County, AR"	"05113"	237	124362	190.6
	"Pope County, AR"	"05115"	632	463003	136.5
	"Prairie County, AR"	"05117"	110	55605	197.8
	"Pulaski County, AR"	"05119"	5264	2865543	183.7
	"Randolph County, AR"	"05121"	213	117898	180.7
	"St. Francis County, AR"	"05123"	412	212925	193.5
	"Saline County, AR"	"05125"	1032	709057	145.5
	"Scott County, AR"	"05127"	143	71853	199.0
	"Searcy County, AR"	"05129"	101	47100	214.4
	"Sebastian County, AR"	"05131"	1494	897027	166.6
	"Sevier County, AR"	"05133"	213	119570	178.1
	"Sharp County, AR"	"05135"	214	96711	221.3
	"Stone County, AR"	"05137"	149	67414	221.0
	"Union County, AR"	"05139"	641	287782	222.7
	"Van Buren County, AR"	"05141"	182	95614	190.3
	"Washington County, AR"	"05143"	1769	1664024	106.3
	"White County, AR"	"05145"	822	558870	147.1
	"Woodruff County, AR"	"05147"	125	48234	259.2
	"Yell County, AR"	"05149"	294	149137	197.1
	"Alameda County, CA"	"06001"	11373	12169909	93.5
	"Alpine County, CA"	"06003"	13	7166	181.4 
	"Amador County, CA"	"06005"	293	224020	130.8
	"Butte County, CA"	"06007"	2057	1633400	125.9
	"Calaveras County, CA"	"06009"	391	238711	163.8
	"Colusa County, CA"	"06011"	158	150169	105.2
	"Contra Costa County, CA"	"06013"	7443	7463322	99.7
	"Del Norte County, CA"	"06015"	347	209063	166.0
	"El Dorado County, CA"	"06017"	1239	1112133	111.4
	"Fresno County, CA"	"06019"	8527	7039296	121.1
	"Glenn County, CA"	"06021"	276	193966	142.3
	"Humboldt County, CA"	"06023"	1606	1018205	157.7
	"Imperial County, CA"	"06025"	1269	1287778	98.5
	"Inyo County, CA"	"06027"	152	108289	140.4
	"Kern County, CA"	"06029"	8307	6256033	132.8
	"Kings County, CA"	"06031"	1270	1263361	100.5
	"Lake County, CA"	"06033"	782	376207	207.9
	"Lassen County, CA"	"06035"	322	298244	108.0
	"Los Angeles County, CA"	"06037"	77051	80198584	96.1
	"Madera County, CA"	"06039"	1368	1080677	126.6
	"Marin County, CA"	"06041"	1161	1580233	73.5
	"Mariposa County, CA"	"06043"	162	101170	160.1
	"Mendocino County, CA"	"06045"	906	573579	158.0
	"Merced County, CA"	"06047"	2378	1932997	123.0
	"Modoc County, CA"	"06049"	97	54292	178.7
	"Mono County, CA"	"06051"	85	108719	78.2
	"Monterey County, CA"	"06053"	3057	3312318	92.3
	"Napa County, CA"	"06055"	841	936625	89.8
	"Nevada County, CA"	"06057"	724	560561	129.2
	"Orange County, CA"	"06059"	17550	23555688	74.5
	"Placer County, CA"	"06061"	1960	2193059	89.4
	"Plumas County, CA"	"06063"	174	110227	157.9
	"Riverside County, CA"	"06065"	16416	15298368	107.3
	"Sacramento County, CA"	"06067"	12163	10736371	113.3
	"San Benito County, CA"	"06069"	365	422895	86.3
	"San Bernardino County, CA"	"06071"	18023	15665343	115.1
	"San Diego County, CA"	"06073"	21073	24841475	84.8
	"San Francisco County, CA"	"06075"	6770	7168902	94.4
	"San Joaquin County, CA"	"06077"	6496	5068442	128.2
	"San Luis Obispo County, CA"	"06079"	1789	2016660	88.7
	"San Mateo County, CA"	"06081"	3746	5367985	69.8
	"Santa Barbara County, CA"	"06083"	2760	3403022	81.1
	"Santa Clara County, CA"	"06085"	9203	14230378	64.7
	"Santa Cruz County, CA"	"06087"	1882	2074214	90.7
	"Shasta County, CA"	"06089"	1881	1146507	164.1
	"Sierra County, CA"	"06091"	28	17337	161.5
	"Siskiyou County, CA"	"06093"	485	253659	191.2
	"Solano County, CA"	"06095"	3569	3135644	113.8
	"Sonoma County, CA"	"06097"	3189	3405095	93.7
	"Stanislaus County, CA"	"06099"	4829	3856249	125.2
	"Sutter County, CA"	"06101"	822	662924	124.0
	"Tehama County, CA"	"06103"	587	400288	146.6
	"Trinity County, CA"	"06105"	185	72385	255.6
	"Tulare County, CA"	"06107"	4369	3238773	134.9
	"Tuolumne County, CA"	"06109"	505	341506	147.9
	"Ventura County, CA"	"06111"	5470	6052577	90.4
	"Yolo County, CA"	"06113"	1205	1731882	69.6
	"Yuba County, CA"	"06115"	744	525824	141.5
	"Adams County, CO"	"08001"	4068	3478019	117.0
	"Alamosa County, CO"	"08003"	199	126044	157.9
	"Arapahoe County, CO"	"08005"	4503	4318578	104.3
	"Archuleta County, CO"	"08007"	88	66078	133.2
	"Baca County, CO"	"08009"	51	21927	232.6
	"Bent County, CO"	"08011"	53	47209	112.3
	"Boulder County, CO"	"08013"	1882	2522758	74.6
	"Broomfield County, CO"	"08014"	266	324356	82.0
	"Chaffee County, CO"	"08015"	146	111160	131.3
	"Cheyenne County, CO"	"08017"	18	12392	145.3 
	"Clear Creek County, CO"	"08019"	73	61129	119.4
	"Conejos County, CO"	"08021"	99	52831	187.4
	"Costilla County, CO"	"08023"	58	19535	296.9
	"Crowley County, CO"	"08025"	49	51864	94.5
	"Custer County, CO"	"08027"	23	18924	121.5
	"Delta County, CO"	"08029"	267	171627	155.6
	"Denver County, CO"	"08031"	6711	5230601	128.3
	"Dolores County, CO"	"08033"	20	11540	173.3
	"Douglas County, CO"	"08035"	1290	1946626	66.3
	"Eagle County, CO"	"08037"	330	436315	75.6
	"Elbert County, CO"	"08039"	173	145334	119.0
	"El Paso County, CO"	"08041"	5786	4741601	122.0
	"Fremont County, CO"	"08043"	490	337508	145.2
	"Garfield County, CO"	"08045"	470	404412	116.2
	"Gilpin County, CO"	"08047"	50	35690	140.1
	"Grand County, CO"	"08049"	135	101578	132.9
	"Gunnison County, CO"	"08051"	125	139512	89.6
	"Huerfano County, CO"	"08055"	91	37849	240.4
	"Jackson County, CO"	"08057"	13	8718	149.1 
	"Jefferson County, CO"	"08059"	4184	3914628	106.9
	"Kit Carson County, CO"	"08063"	69	57959	119.0
	"Lake County, CO"	"08065"	97	60873	159.3
	"La Plata County, CO"	"08067"	438	383690	114.2
	"Larimer County, CO"	"08069"	2038	2391640	85.2
	"Las Animas County, CO"	"08071"	180	95268	188.9
	"Lincoln County, CO"	"08073"	45	42077	106.9
	"Logan County, CO"	"08075"	170	166755	101.9
	"Mesa County, CO"	"08077"	1312	954771	137.4
	"Moffat County, CO"	"08081"	161	94609	170.2
	"Montezuma County, CO"	"08083"	351	156363	224.5
	"Montrose County, CO"	"08085"	316	237565	133.0
	"Morgan County, CO"	"08087"	260	195750	132.8
	"Otero County, CO"	"08089"	198	123281	160.6
	"Ouray County, CO"	"08091"	31	22358	138.7
	"Park County, CO"	"08093"	150	98485	152.3
	"Phillips County, CO"	"08095"	42	26561	158.1
	"Pitkin County, CO"	"08097"	103	123506	83.4
	"Prowers County, CO"	"08099"	118	90676	130.1
	"Pueblo County, CO"	"08101"	1826	1071618	170.4
	"Rio Blanco County, CO"	"08103"	62	45524	136.2
	"Rio Grande County, CO"	"08105"	129	77127	167.3
	"Routt County, CO"	"08107"	194	177629	109.2
	"Saguache County, CO"	"08109"	65	38218	170.1
	"San Miguel County, CO"	"08113"	58	60797	95.4
	"Sedgwick County, CO"	"08115"	30	13963	214.9
	"Summit County, CO"	"08117"	226	251051	90.0
	"Teller County, CO"	"08119"	214	136230	157.1
	"Washington County, CO"	"08121"	44	29771	147.8
	"Weld County, CO"	"08123"	1972	1873052	105.3
	"Yuma County, CO"	"08125"	81	65086	124.5
	"Fairfield County, CT"	"09001"	5532	6426386	86.1
	"Hartford County, CT"	"09003"	7112	6289529	113.1
	"Litchfield County, CT"	"09005"	1314	1193626	110.1
	"Middlesex County, CT"	"09007"	1021	1106398	92.3
	"New Haven County, CT"	"09009"	6860	6224129	110.2
	"New London County, CT"	"09011"	2068	1960529	105.5
	"Tolland County, CT"	"09013"	811	1189838	68.2
	"Windham County, CT"	"09015"	1016	858483	118.3
	"Kent County, DE"	"10001"	1608	1132355	142.0
	"New Castle County, DE"	"10003"	5311	4092089	129.8
	"Sussex County, DE"	"10005"	1779	1123236	158.4
	"District of Columbia, DC"	"11001"	9006	5432461	165.8
	"Alachua County, FL"	"12001"	1950	2272894	85.8
	"Baker County, FL"	"12003"	344	193838	177.5
	"Bay County, FL"	"12005"	2009	1194378	168.2
	"Bradford County, FL"	"12007"	327	207025	158.0
	"Brevard County, FL"	"12009"	5173	3294275	157.0
	"Broward County, FL"	"12011"	16794	12809359	131.1
	"Calhoun County, FL"	"12013"	153	103055	148.5
	"Charlotte County, FL"	"12015"	1218	703713	173.1
	"Citrus County, FL"	"12017"	1299	617120	210.5
	"Clay County, FL"	"12019"	1809	1286675	140.6
	"Collier County, FL"	"12021"	2292	1796872	127.6
	"Columbia County, FL"	"12023"	809	447038	181.0
	"DeSoto County, FL"	"12027"	343	248209	138.2
	"Dixie County, FL"	"12029"	194	97486	199.0
	"Duval County, FL"	"12031"	11118	6681142	166.4
	"Escambia County, FL"	"12033"	3544	2293603	154.5
	"Flagler County, FL"	"12035"	668	444543	150.3
	"Franklin County, FL"	"12037"	126	76732	164.2
	"Gadsden County, FL"	"12039"	646	325889	198.2
	"Gilchrist County, FL"	"12041"	169	111981	150.9
	"Glades County, FL"	"12043"	159	80914	196.5
	"Gulf County, FL"	"12045"	154	113844	135.3
	"Hamilton County, FL"	"12047"	179	112623	158.9
	"Hardee County, FL"	"12049"	280	207307	135.1
	"Hendry County, FL"	"12051"	536	298948	179.3
	"Hernando County, FL"	"12053"	1571	872267	180.1
	"Highlands County, FL"	"12055"	790	481249	164.2
	"Hillsborough County, FL"	"12057"	12265	9243922	132.7
	"Holmes County, FL"	"12059"	239	137636	173.6
	"Indian River County, FL"	"12061"	999	711592	140.4
	"Jackson County, FL"	"12063"	534	352973	151.3
	"Jefferson County, FL"	"12065"	158	94005	168.1
	"Lafayette County, FL"	"12067"	84	67844	123.8
	"Lake County, FL"	"12069"	2380	1609731	147.9
	"Lee County, FL"	"12071"	5344	3455965	154.6
	"Leon County, FL"	"12073"	2079	2498770	83.2
	"Levy County, FL"	"12075"	477	232291	205.3
	"Liberty County, FL"	"12077"	84	66726	125.9
	"Madison County, FL"	"12079"	250	135181	184.9
	"Manatee County, FL"	"12081"	3161	1850304	170.8
	"Marion County, FL"	"12083"	3147	1783141	176.5
	"Martin County, FL"	"12085"	1136	760759	149.3
	"Miami-Dade County, FL"	"12086"	21871	18948839	115.4
	"Monroe County, FL"	"12087"	842	504815	166.8
	"Nassau County, FL"	"12089"	807	450864	179.0
	"Okaloosa County, FL"	"12091"	1699	1389215	122.3
	"Okeechobee County, FL"	"12093"	513	274829	186.7
	"Orange County, FL"	"12095"	10799	9307884	116.0
	"Osceola County, FL"	"12097"	2265	1944554	116.5
	"Palm Beach County, FL"	"12099"	12496	8295387	150.6
	"Pasco County, FL"	"12101"	4678	2670109	175.2
	"Pinellas County, FL"	"12103"	9323	5787792	161.1
	"Polk County, FL"	"12105"	5779	3858828	149.8
	"Putnam County, FL"	"12107"	1010	447013	225.9
	"St. Johns County, FL"	"12109"	1318	1137552	115.9
	"St. Lucie County, FL"	"12111"	2548	1592096	160.0
	"Santa Rosa County, FL"	"12113"	1359	1050720	129.3
	"Sarasota County, FL"	"12115"	2964	1848573	160.3
	"Seminole County, FL"	"12117"	3300	3137083	105.2
	"Sumter County, FL"	"12119"	525	333989	157.2
	"Suwannee County, FL"	"12121"	469	260365	180.1
	"Taylor County, FL"	"12123"	230	150517	152.8
	"Union County, FL"	"12125"	342	121027	282.6
	"Volusia County, FL"	"12127"	5260	3069401	171.4
	"Wakulla County, FL"	"12129"	304	210108	144.7
	"Walton County, FL"	"12131"	584	346288	168.6
	"Washington County, FL"	"12133"	284	164415	172.7
	"Appling County, GA"	"13001"	249	126132	197.4
	"Atkinson County, GA"	"13003"	111	60899	182.3
	"Bacon County, GA"	"13005"	187	78615	237.9
	"Baker County, GA"	"13007"	45	24707	182.1
	"Baldwin County, GA"	"13009"	432	388917	111.1
	"Banks County, GA"	"13011"	198	122465	161.7
	"Barrow County, GA"	"13013"	683	493623	138.4
	"Bartow County, GA"	"13015"	1099	705581	155.8
	"Ben Hill County, GA"	"13017"	206	121334	169.8
	"Berrien County, GA"	"13019"	197	127478	154.5
	"Bibb County, GA"	"13021"	2164	1140440	189.8
	"Bleckley County, GA"	"13023"	170	95174	178.6
	"Brantley County, GA"	"13025"	257	121784	211.0
	"Brooks County, GA"	"13027"	194	109992	176.4
	"Bryan County, GA"	"13029"	291	220416	132.0
	"Bulloch County, GA"	"13031"	582	640458	90.9
	"Burke County, GA"	"13033"	358	160017	223.7
	"Butts County, GA"	"13035"	309	172613	179.0
	"Calhoun County, GA"	"13037"	75	52016	144.2
	"Camden County, GA"	"13039"	456	409849	111.3
	"Candler County, GA"	"13043"	145	71783	202.0
	"Carroll County, GA"	"13045"	1264	846048	149.4
	"Catoosa County, GA"	"13047"	547	441399	123.9
	"Charlton County, GA"	"13049"	145	98775	146.8
	"Chatham County, GA"	"13051"	2975	2041025	145.8
	"Chattahoochee County, GA"	"13053"	106	158746	66.8
	"Chattooga County, GA"	"13055"	319	186158	171.4
	"Cherokee County, GA"	"13057"	1530	1494858	102.4
	"Clarke County, GA"	"13059"	980	1223172	80.1
	"Clay County, GA"	"13061"	45	18142	248.0
	"Clayton County, GA"	"13063"	3041	2175613	139.8
	"Clinch County, GA"	"13065"	85	49159	172.9
	"Cobb County, GA"	"13067"	5299	5491719	96.5
	"Coffee County, GA"	"13069"	502	319661	157.0
	"Colquitt County, GA"	"13071"	636	327001	194.5
	"Columbia County, GA"	"13073"	857	861017	99.5
	"Cook County, GA"	"13075"	187	118759	157.5
	"Coweta County, GA"	"13077"	1063	871096	122.0
	"Crawford County, GA"	"13079"	144	89132	161.6
	"Crisp County, GA"	"13081"	342	156421	218.6
	"Dade County, GA"	"13083"	178	119514	148.9
	"Dawson County, GA"	"13085"	219	142497	153.7
	"Decatur County, GA"	"13087"	372	197549	188.3
	"DeKalb County, GA"	"13089"	7766	5882676	132.0
	"Dodge County, GA"	"13091"	269	155303	173.2
	"Dooly County, GA"	"13093"	146	98858	147.7
	"Dougherty County, GA"	"13095"	1213	722887	167.8
	"Douglas County, GA"	"13097"	1249	949768	131.5
	"Early County, GA"	"13099"	152	74858	203.1
	"Echols County, GA"	"13101"	31	32941	94.1
	"Effingham County, GA"	"13103"	474	370590	127.9
	"Elbert County, GA"	"13105"	283	136261	207.7
	"Emanuel County, GA"	"13107"	300	159195	188.4
	"Evans County, GA"	"13109"	142	79527	178.6
	"Fannin County, GA"	"13111"	270	127344	212.0
	"Fayette County, GA"	"13113"	650	668617	97.2
	"Floyd County, GA"	"13115"	1037	694877	149.2
	"Forsyth County, GA"	"13117"	968	1161403	83.3
	"Franklin County, GA"	"13119"	296	149161	198.4
	"Fulton County, GA"	"13121"	11226	7599550	147.7
	"Gilmer County, GA"	"13123"	277	173851	159.3
	"Glascock County, GA"	"13125"	43	19094	225.2
	"Glynn County, GA"	"13127"	853	518252	164.6
	"Gordon County, GA"	"13129"	636	390759	162.8
	"Grady County, GA"	"13131"	346	170145	203.4
	"Greene County, GA"	"13133"	177	92754	190.8
	"Gwinnett County, GA"	"13135"	5741	6192076	92.7
	"Habersham County, GA"	"13137"	383	292479	130.9
	"Hall County, GA"	"13139"	1529	1307456	116.9
	"Hancock County, GA"	"13141"	145	69371	209.0
	"Haralson County, GA"	"13143"	432	197483	218.8
	"Harris County, GA"	"13145"	255	194823	130.9
	"Hart County, GA"	"13147"	280	158434	176.7
	"Heard County, GA"	"13149"	143	81074	176.4
	"Henry County, GA"	"13151"	1746	1407855	124.0
	"Houston County, GA"	"13153"	1215	1028992	118.1
	"Irwin County, GA"	"13155"	117	68889	169.8
	"Jackson County, GA"	"13157"	660	401906	164.2
	"Jasper County, GA"	"13159"	148	89971	164.5
	"Jeff Davis County, GA"	"13161"	217	100071	216.8
	"Jefferson County, GA"	"13163"	252	116173	216.9
	"Jenkins County, GA"	"13165"	127	60155	211.1
	"Johnson County, GA"	"13167"	98	69507	141.0
	"Jones County, GA"	"13169"	257	192846	133.3
	"Lamar County, GA"	"13171"	210	130616	160.8
	"Lanier County, GA"	"13173"	93	69822	133.2
	"Laurens County, GA"	"13175"	575	330136	174.2
	"Lee County, GA"	"13177"	275	211976	129.7
	"Liberty County, GA"	"13179"	704	582493	120.9
	"Lincoln County, GA"	"13181"	98	51614	189.9
	"Long County, GA"	"13183"	130	111130	117.0
	"Lowndes County, GA"	"13185"	1153	907831	127.0
	"Lumpkin County, GA"	"13187"	269	222034	121.2
	"McDuffie County, GA"	"13189"	336	148410	226.4
	"McIntosh County, GA"	"13191"	152	81344	186.9
	"Macon County, GA"	"13193"	180	105283	171.0
	"Madison County, GA"	"13195"	339	194207	174.6
	"Marion County, GA"	"13197"	109	54148	201.3
	"Meriwether County, GA"	"13199"	308	148374	207.6
	"Miller County, GA"	"13201"	90	39605	227.2
	"Mitchell County, GA"	"13205"	297	173763	170.9
	"Monroe County, GA"	"13207"	273	173877	157.0
	"Montgomery County, GA"	"13209"	109	69454	156.9
	"Morgan County, GA"	"13211"	160	113231	141.3
	"Murray County, GA"	"13213"	511	299405	170.7
	"Muscogee County, GA"	"13215"	2377	1519000	156.5
	"Newton County, GA"	"13217"	976	687892	141.9
	"Oconee County, GA"	"13219"	198	211787	93.5
	"Oglethorpe County, GA"	"13221"	144	98051	146.9
	"Paulding County, GA"	"13223"	1164	1009594	115.3
	"Peach County, GA"	"13225"	359	205953	174.3
	"Pickens County, GA"	"13227"	280	182980	153.0
	"Pierce County, GA"	"13229"	236	123106	191.7
	"Pike County, GA"	"13231"	163	116749	139.6
	"Polk County, GA"	"13233"	564	290683	194.0
	"Pulaski County, GA"	"13235"	110	77800	141.4
	"Putnam County, GA"	"13237"	235	127694	184.0
	"Quitman County, GA"	"13239"	39	13836	281.9
	"Rabun County, GA"	"13241"	175	97088	180.2
	"Randolph County, GA"	"13243"	104	50316	206.7
	"Richmond County, GA"	"13245"	2816	1582102	178.0
	"Rockdale County, GA"	"13247"	806	598262	134.7
	"Schley County, GA"	"13249"	54	31129	173.5
	"Screven County, GA"	"13251"	189	101448	186.3
	"Seminole County, GA"	"13253"	142	56424	251.7
	"Spalding County, GA"	"13255"	818	448366	182.4
	"Stephens County, GA"	"13257"	336	174984	192.0
	"Stewart County, GA"	"13259"	73	45787	159.4
	"Sumter County, GA"	"13261"	374	247246	151.3
	"Talbot County, GA"	"13263"	99	41132	240.7
	"Taliaferro County, GA"	"13265"	26	11493	226.2
	"Tattnall County, GA"	"13267"	305	198778	153.4
	"Taylor County, GA"	"13269"	122	60102	203.0
	"Telfair County, GA"	"13271"	169	117449	143.9
	"Terrell County, GA"	"13273"	125	66038	189.3
